B_COUNTRY,Q4,Q200,Q199,Q240,Q217,Q238,Q125,Q252
76,2,2,4,-1,2,1,2,1
76,1,1,1,4,1,1,2,1
76,3,3,4,-1,3,2,-1,1
76,4,3,2,-1,3,3,0,1
76,3,3,4,-1,-5,2,-1,1
76,2,3,2,9,2,2,2,2
76,2,3,3,-1,3,-1,0,3
76,3,3,4,10,3,2,0,1
76,2,1,1,-1,1,1,0,1
76,2,2,2,5,1,1,0,1
76,3,3,3,1,2,2,2,1
76,1,2,3,4,1,2,1,7
76,1,1,1,10,2,1,-1,1
76,1,2,2,5,1,1,0,1
76,3,2,4,1,-5,1,1,1
76,2,2,3,2,3,1,1,1
76,3,3,4,-1,3,1,0,5
76,3,2,4,-1,3,-1,2,1
76,2,2,3,-1,1,1,2,5
76,3,3,3,-1,2,1,1,10
76,2,3,3,-1,-1,1,-1,5
76,3,2,3,5,1,2,1,7
76,2,2,3,-1,2,1,2,5
76,4,2,3,5,3,2,2,1
76,4,2,3,-1,3,2,2,5
76,1,3,4,-2,2,1,0,10
76,4,2,4,-1,-5,-1,-1,6
76,1,1,1,5,3,1,0,1
76,4,3,4,-1,-5,2,2,1
76,2,1,2,10,2,2,0,1
76,1,2,2,10,2,1,-1,1
76,4,3,4,-1,3,-1,2,5
76,4,2,4,-2,3,1,1,1
76,4,3,4,-1,2,-1,-1,-1
76,1,1,2,10,1,2,0,1
76,4,3,-1,-1,3,4,-1,1
76,3,1,2,-1,3,2,0,1
76,2,1,1,6,1,1,-1,6
76,1,2,2,1,1,4,2,1
76,2,2,2,5,2,2,1,6
76,2,2,2,4,1,2,2,1
76,4,2,4,7,3,2,2,1
76,2,3,2,5,1,-1,1,5
76,2,3,4,5,3,2,0,1
76,3,2,4,7,-1,2,1,4
76,2,3,4,-1,3,1,1,1
76,3,2,4,-1,2,2,2,1
76,4,3,4,8,3,4,0,1
76,2,3,4,-1,-1,-1,-1,1
76,2,2,2,-1,-2,1,-1,1
76,3,3,3,-1,2,2,1,1
76,2,2,3,5,1,1,2,3
76,4,3,4,10,3,1,1,1
76,4,3,4,-1,3,-1,2,-1
76,4,3,4,-1,-1,1,2,3
76,2,2,2,1,1,2,0,1
76,2,1,1,10,1,2,2,2
76,3,2,4,5,-5,2,2,1
76,4,3,2,3,1,2,1,1
76,2,3,2,10,1,2,2,1
76,4,3,2,-1,3,4,0,3
76,3,2,4,-1,2,2,-1,3
76,2,2,3,-1,3,1,1,1
76,4,2,4,1,3,2,2,1
76,2,3,2,5,3,2,0,2
76,4,2,4,10,3,3,0,-1
76,2,3,4,-1,3,1,0,1
76,4,2,2,-1,3,2,0,2
76,4,3,4,5,3,2,0,4
76,3,2,3,-1,1,3,2,3
76,4,2,4,1,3,-1,-1,6
76,3,2,3,5,2,1,-1,2
76,4,3,2,5,3,1,0,1
76,2,2,2,2,2,2,1,2
76,1,2,2,-2,3,-1,0,1
76,3,2,4,-1,3,2,1,3
76,2,2,3,5,3,2,2,2
76,2,2,2,3,3,2,0,6
76,4,-1,2,5,1,-1,0,6
76,3,2,2,10,2,2,1,1
76,2,3,2,10,1,2,0,1
76,2,3,2,5,3,-1,0,1
76,4,2,3,6,3,2,0,1
76,2,2,3,-1,1,2,-1,1
76,2,1,2,5,-1,4,0,5
76,2,2,3,7,2,1,2,5
76,2,2,2,10,3,2,2,1
76,2,3,1,1,2,3,2,7
76,4,3,4,-1,3,2,1,1
76,3,3,4,-1,3,2,0,1
76,1,-1,-1,10,3,-2,1,-1
76,2,2,2,10,2,1,0,4
76,1,1,1,-2,-2,1,2,3
76,4,2,4,-1,2,2,2,1
76,3,3,4,-2,2,2,1,5
76,3,1,4,7,3,2,1,1
76,2,2,3,5,2,2,0,7
76,4,3,2,8,1,2,0,1
76,3,3,2,5,1,2,0,1
76,1,2,3,7,-1,2,0,3
76,4,3,2,10,3,2,1,5
76,2,3,3,5,1,2,0,1
76,4,3,4,-1,3,-1,-1,1
76,4,-1,-1,4,2,3,2,4
76,2,2,3,5,2,1,2,4
76,3,2,3,-1,3,4,2,-1
76,3,2,4,5,2,2,2,4
76,4,3,4,-1,-5,1,2,1
76,3,3,4,5,3,1,1,1
76,2,2,1,5,2,1,2,5
76,2,2,3,9,2,1,1,2
76,1,2,2,10,1,2,0,1
76,3,3,3,1,3,-1,0,1
76,1,2,1,5,1,1,0,1
76,4,2,4,9,3,1,0,1
76,2,2,2,6,2,-1,0,1
76,2,3,2,-1,2,2,-1,1
76,4,3,4,-2,-5,-2,-1,1
76,4,2,4,5,-5,1,2,1
76,3,2,4,-1,3,2,2,1
76,1,2,2,6,3,3,2,8
76,1,2,3,5,1,1,2,1
76,4,3,4,10,3,4,2,1
76,-2,2,4,10,3,-2,-1,1
76,3,-1,3,10,3,-1,2,1
76,2,2,2,1,1,1,2,1
76,4,-2,4,-1,3,-1,0,1
76,2,3,3,-1,3,1,-1,1
76,4,3,4,6,2,2,1,1
76,2,2,3,6,3,-1,2,6
76,4,2,4,5,3,2,2,-1
76,4,2,4,-2,3,2,2,1
76,2,3,4,-1,-5,1,1,5
76,2,2,2,1,1,1,2,1
76,3,3,3,10,3,2,1,5
76,4,3,4,-1,3,2,0,1
76,3,2,4,5,-1,2,2,1
76,4,1,2,1,1,3,2,5
76,3,3,4,6,1,4,1,6
76,4,2,3,5,3,2,2,1
76,4,3,2,10,2,2,2,1
76,4,2,2,-1,2,1,-1,1
76,1,1,1,5,-5,2,0,1
76,3,2,2,5,1,2,0,1
76,2,3,2,-2,3,2,1,1
76,1,2,2,-1,3,-2,-2,1
76,4,2,4,-1,3,-1,1,1
76,3,3,3,3,2,2,-1,1
76,4,3,4,-1,1,2,2,1
76,2,3,3,4,3,3,2,2
76,4,3,4,3,3,1,2,1
76,2,2,2,-1,2,2,1,1
76,3,2,2,5,3,1,1,2
76,4,2,4,5,-5,-1,0,1
76,4,3,4,-1,2,2,2,1
76,3,2,3,5,2,2,1,1
76,2,3,3,5,3,2,0,1
76,1,3,4,-1,3,3,1,1
76,1,3,4,5,3,2,2,1
76,4,3,4,-1,3,-1,0,3
76,3,2,3,1,1,1,0,1
76,3,1,2,1,1,1,2,1
76,1,2,2,5,1,1,1,1
76,2,3,2,1,2,2,2,8
76,1,3,2,10,3,2,1,9
76,2,2,2,1,1,1,2,1
76,3,2,4,5,-5,2,1,6
76,4,3,4,-1,3,1,0,1
76,4,2,4,-1,3,1,0,1
76,4,3,4,-1,3,-1,2,1
76,3,2,2,7,1,2,2,8
76,1,2,3,5,1,2,2,1
76,3,2,3,-1,3,2,2,1
76,4,2,3,-1,3,-1,0,1
76,4,2,2,-1,3,1,-1,7
76,4,2,4,-2,3,-2,2,-2
76,4,3,4,-1,3,2,0,1
76,3,2,3,-1,2,1,1,6
76,3,3,3,7,-5,2,-1,3
76,1,3,1,1,-2,3,0,9
76,4,3,3,6,-1,-1,1,5
76,4,3,3,-1,3,2,-1,1
76,3,3,2,-1,3,-1,1,6
76,3,2,2,10,1,1,0,2
76,2,2,2,10,1,2,0,1
76,1,3,4,1,2,1,-1,3
76,2,2,2,8,3,2,2,7
76,4,2,1,-1,-1,2,0,1
76,4,2,2,10,3,2,0,10
76,2,3,4,-1,-5,-1,1,2
76,1,1,1,10,1,1,1,1
76,3,3,3,-1,-2,-1,0,1
76,2,3,-1,5,3,4,1,1
76,1,3,3,-2,2,2,0,2
76,4,2,4,-1,-1,2,0,1
76,4,2,4,5,3,2,1,4
76,4,3,4,5,3,4,0,1
76,3,2,3,-1,2,1,0,1
76,1,2,2,5,1,2,2,1
76,2,3,4,5,3,-1,-1,5
76,4,2,4,5,2,2,-1,7
76,3,2,2,3,2,1,2,1
76,1,2,2,4,1,2,0,3
76,4,3,4,-2,3,3,1,1
76,2,2,4,5,2,2,1,3
76,2,2,3,8,1,1,0,3
76,2,3,2,6,3,-1,-1,1
76,3,2,4,5,2,2,1,7
76,2,2,2,-2,1,2,2,4
76,3,2,4,6,3,1,0,1
76,2,3,3,5,2,2,0,4
76,4,3,4,-1,3,3,-1,1
76,1,3,1,4,3,3,0,5
76,2,3,2,5,3,2,0,1
76,4,3,4,-1,3,2,2,2
76,1,2,1,5,2,1,1,1
76,3,2,3,3,1,2,-1,1
76,2,2,2,1,2,1,0,1
76,2,3,4,-1,3,2,0,6
76,1,2,2,1,2,1,0,1
76,3,2,2,3,1,2,2,1
76,3,2,2,5,-5,2,0,1
76,1,1,2,9,2,1,0,1
76,3,1,4,-2,1,2,0,1
76,4,2,4,-1,2,2,2,1
76,2,3,1,-1,1,3,1,1
76,2,3,4,-1,3,2,2,-1
76,1,2,2,10,3,2,0,5
76,4,3,4,2,3,-1,-1,1
76,4,1,1,1,1,1,2,1
76,2,-1,-1,-2,-5,-2,-1,-2
76,-1,1,4,-1,-1,-1,2,2
76,3,3,3,10,1,1,2,1
76,4,3,4,-1,2,-1,0,1
76,2,3,4,5,3,2,2,1
76,1,2,2,-1,-1,1,-1,1
76,3,3,4,8,1,2,2,8
76,4,2,4,10,-1,-1,-1,-2
76,4,2,2,1,3,1,1,1
76,4,2,2,5,2,1,1,1
76,4,3,4,-1,3,2,2,1
76,4,3,4,-1,2,2,2,7
76,2,2,3,-2,-5,2,-1,7
76,4,3,3,5,1,1,0,1
76,4,3,4,4,-1,-1,0,1
76,1,1,2,1,1,1,0,1
76,3,3,2,6,1,4,1,6
76,3,2,2,-1,3,1,0,4
76,4,3,4,5,3,1,2,1
76,2,3,2,-1,2,2,2,1
76,4,2,3,10,3,1,1,5
76,4,3,4,-2,3,1,0,1
76,3,2,2,7,1,1,0,1
76,3,2,3,-1,3,1,2,1
76,4,2,2,10,3,2,-1,1
76,4,2,1,7,3,-1,0,7
76,2,2,4,10,1,2,-1,5
76,4,2,3,10,3,2,0,1
76,4,3,4,-1,1,-1,2,1
76,4,2,3,2,3,1,1,1
76,2,2,3,6,1,-1,1,1
76,3,2,4,5,3,2,0,1
76,3,2,4,10,3,2,0,1
76,4,3,4,-1,3,2,-1,2
76,4,3,4,-2,3,-2,-1,-2
76,3,3,4,-1,-1,1,1,1
76,2,2,2,5,1,2,2,1
76,2,2,2,5,2,3,0,6
76,2,2,2,5,2,1,0,1
76,2,3,4,-2,-5,3,2,-2
76,2,3,2,5,3,2,0,3
76,-1,2,3,5,-1,1,2,1
76,3,2,3,6,2,-1,-1,5
76,1,1,1,2,1,2,0,5
76,2,2,3,1,3,1,0,1
76,2,2,2,5,1,2,2,2
76,3,2,2,-1,-1,-1,2,1
76,2,2,3,6,3,2,0,7
76,1,1,1,10,1,1,2,1
76,2,2,3,10,2,1,2,1
76,4,2,4,-2,2,2,2,1
76,1,2,2,3,1,1,2,1
76,3,2,2,5,3,2,1,1
76,2,3,2,10,3,1,2,1
76,2,3,2,3,1,2,-1,3
76,2,2,3,4,2,1,1,1
76,4,2,4,-2,3,2,2,1
76,1,1,1,1,1,1,1,1
76,3,3,4,5,1,1,-1,3
76,3,2,2,3,3,-1,0,1
76,1,1,2,6,1,1,2,3
76,3,2,3,-1,1,1,2,4
76,3,2,2,5,3,2,0,1
76,4,3,3,10,3,2,1,1
76,2,2,2,10,1,2,2,1
76,2,1,3,5,3,1,0,8
76,4,2,4,-2,-5,2,0,8
76,4,3,4,1,3,1,0,1
76,4,2,4,-1,3,2,0,1
76,2,2,2,7,3,2,0,1
76,1,3,2,-1,3,-1,0,1
76,2,1,1,10,1,2,0,1
76,-1,2,4,-1,3,3,0,1
76,2,2,3,6,-5,1,-1,2
76,2,3,2,1,3,1,2,1
76,2,2,4,-1,-1,1,2,3
76,3,2,2,1,3,2,1,1
76,2,3,4,-1,3,2,0,1
76,4,3,4,-1,3,1,0,1
76,2,2,1,4,1,2,0,5
76,4,3,4,10,3,2,0,1
76,2,3,4,1,2,2,0,1
76,3,3,4,-1,3,1,-1,1
76,3,3,4,-1,3,1,-1,-1
76,1,3,4,-2,3,2,0,1
76,3,2,4,-2,1,2,0,1
76,4,1,4,-1,3,2,-1,1
76,3,3,4,5,3,1,2,3
76,3,2,3,6,3,2,0,1
76,1,2,2,-1,2,1,0,-1
76,1,1,1,1,1,1,2,8
76,4,3,4,-2,2,1,0,10
76,4,2,3,-1,1,1,2,1
76,4,1,2,-1,1,-1,2,5
76,2,2,1,2,1,1,1,1
76,1,2,1,8,1,2,2,3
76,2,2,3,3,3,2,2,3
76,-1,2,4,-1,3,4,-1,1
76,3,3,4,8,1,1,2,3
76,3,2,2,5,1,1,2,1
76,1,1,1,10,1,2,0,1
76,3,3,4,5,1,2,0,1
76,2,1,4,10,3,2,1,10
76,4,2,2,8,3,1,2,1
76,3,3,2,5,2,1,0,4
76,2,2,2,5,1,1,0,1
76,4,2,4,1,3,-1,0,1
76,4,2,2,4,1,1,2,1
76,1,3,4,7,3,2,1,-2
76,3,2,3,-1,3,2,-1,1
76,3,3,4,-1,-5,-1,2,1
76,3,3,4,1,3,1,2,1
76,4,2,2,-1,2,1,2,2
76,3,2,2,-1,3,1,-1,2
76,4,2,2,5,1,2,1,2
76,4,3,4,5,2,2,0,4
76,3,2,3,5,3,3,0,1
76,3,3,4,8,3,3,0,1
76,4,2,1,1,3,1,1,1
76,4,1,-1,-1,3,-1,-1,10
76,3,2,3,-1,1,1,1,1
76,4,2,4,5,2,2,2,1
76,2,2,3,5,2,1,1,1
76,3,2,2,5,1,1,1,1
76,3,3,3,-1,3,-1,1,5
76,1,2,3,4,1,1,2,1
76,3,2,2,-1,-5,2,0,1
76,3,2,2,-1,1,2,0,5
76,1,2,2,7,3,2,2,1
76,2,2,1,6,1,1,2,1
76,3,3,4,5,1,-1,2,1
76,1,2,2,5,1,2,0,4
76,2,2,3,4,3,3,1,7
76,3,3,3,6,3,-1,-1,5
76,4,3,4,-1,3,-1,-1,5
76,3,3,4,-1,3,2,2,1
76,4,3,4,10,3,3,2,5
76,1,1,2,-1,1,2,-1,1
76,4,3,2,7,3,2,1,7
76,3,2,4,5,2,-1,1,5
76,3,3,4,5,2,1,-1,1
76,3,3,3,5,2,2,2,5
76,2,2,3,6,2,-1,-1,1
76,1,2,2,5,1,1,2,7
76,4,2,3,5,3,2,0,1
76,3,3,4,5,3,2,2,1
76,2,3,2,10,2,2,0,4
76,3,2,3,5,3,1,1,1
76,4,3,4,5,2,2,0,5
76,3,1,3,5,1,1,-1,1
76,3,2,3,-1,-1,-1,-1,1
76,3,2,3,5,1,1,2,1
76,4,2,4,1,3,2,-1,1
76,1,3,2,5,1,2,1,1
76,4,3,4,5,3,2,0,1
76,1,1,1,10,1,1,2,1
76,2,2,2,6,2,1,2,1
76,2,3,4,1,1,1,0,7
76,2,2,2,4,1,3,1,3
76,1,3,3,7,-1,2,2,1
76,3,2,2,5,2,2,2,5
76,3,3,4,-1,1,2,-1,1
76,1,2,1,8,1,1,2,1
76,1,1,1,8,1,1,2,1
76,4,3,4,5,-1,1,1,1
76,2,3,4,-1,3,-2,1,1
76,1,2,3,-1,2,2,2,1
76,4,3,4,5,3,3,1,4
76,4,3,4,-1,-5,4,2,1
76,4,3,4,-1,3,2,2,1
76,2,1,2,1,1,2,2,1
76,4,3,4,-1,3,1,-1,1
76,4,1,2,-1,-1,-1,-1,10
76,3,2,3,5,-1,3,1,1
76,3,2,4,5,3,3,1,10
76,3,2,4,-1,3,3,1,2
76,4,3,4,-1,1,2,2,3
76,4,2,3,5,3,2,2,1
76,1,1,1,7,1,1,0,7
76,3,3,3,9,3,3,0,9
76,-1,2,3,-1,-1,1,-1,3
76,3,2,4,-1,-5,-1,0,2
76,1,1,1,1,1,1,0,1
76,4,2,2,-1,3,2,2,1
76,4,3,3,1,3,-1,-1,5
76,4,3,4,-2,3,1,2,1
76,2,1,1,1,2,2,0,1
76,3,2,2,2,3,1,0,5
76,4,2,4,1,2,1,0,1
76,4,3,4,-1,3,-1,1,-1
76,3,2,3,5,2,2,0,4
76,4,2,2,5,1,-1,2,1
76,4,3,4,10,-5,-1,-1,1
76,3,3,2,-1,3,2,-1,-1
76,3,2,3,-1,3,2,-1,5
76,4,3,4,4,-1,-1,0,5
76,1,3,4,6,3,2,0,4
76,3,2,3,5,2,-1,-1,5
76,3,2,2,10,1,2,0,1
76,2,2,4,5,1,2,0,2
76,3,3,4,5,3,2,2,4
76,4,2,3,8,3,2,2,1
76,2,2,2,7,2,2,2,1
76,3,3,4,10,3,2,2,1
76,2,2,2,5,3,2,0,6
76,3,3,4,10,3,4,2,1
76,1,2,2,5,1,1,1,5
76,2,2,3,1,2,1,0,1
76,3,3,4,-1,-5,-1,2,-1
76,3,3,3,1,-1,2,1,1
76,4,2,4,2,3,2,1,1
76,1,3,4,5,3,2,0,1
76,3,1,1,-1,1,1,0,3
76,-1,3,4,5,3,2,2,1
76,3,1,4,1,3,-1,2,1
76,4,3,4,-1,3,-1,1,1
76,4,2,2,6,2,2,0,1
76,4,3,4,-1,3,1,2,1
76,4,2,2,8,3,1,2,5
76,4,2,4,5,3,2,0,1
76,3,3,4,6,3,1,2,1
76,2,2,2,5,3,1,2,5
76,4,2,4,-1,3,1,1,1
76,2,3,4,-1,3,1,1,1
76,2,2,3,5,2,2,1,7
76,4,2,-1,5,3,-1,-1,1
76,2,3,4,-1,-1,1,1,2
76,4,2,1,5,-1,4,2,1
76,3,3,4,-1,-5,-1,-1,4
76,2,2,2,1,2,1,0,1
76,4,3,4,-2,1,2,2,1
76,2,2,3,-1,3,2,1,1
76,1,2,3,5,1,2,2,5
76,2,3,2,10,1,2,0,1
76,4,3,4,-1,3,4,0,1
76,2,2,1,10,1,2,2,2
76,4,3,4,10,3,1,0,1
76,1,2,1,5,2,1,0,1
76,1,1,1,6,1,1,2,1
76,2,2,2,1,2,2,1,1
76,3,2,3,-1,3,2,0,5
76,3,3,3,10,2,2,2,1
76,2,3,4,-2,-2,-2,-2,1
76,4,2,3,-1,-5,1,1,2
76,4,3,4,8,3,-1,2,3
76,3,3,4,-1,3,-1,-1,3
76,4,3,4,5,2,1,1,1
76,2,2,2,5,2,1,1,5
76,3,3,4,1,3,1,0,1
76,4,2,4,-1,-1,-1,-1,1
76,2,2,2,1,-1,1,-1,1
76,4,2,3,10,2,2,2,3
76,4,2,3,6,2,1,2,1
76,4,3,4,-2,3,2,1,1
76,2,3,4,4,3,1,0,3
76,2,3,4,10,3,2,0,5
76,1,2,2,5,3,-1,1,5
76,4,3,4,-1,3,-1,1,5
76,3,3,4,-1,3,2,1,1
76,4,3,4,10,2,-1,-1,-1
76,4,3,3,7,3,-1,2,4
76,3,3,4,-1,3,2,-1,3
76,4,2,4,-1,-5,-1,-1,1
76,4,3,4,1,1,1,0,3
76,4,3,4,-2,-1,2,1,1
76,3,3,3,4,3,-1,0,1
76,3,2,3,2,3,3,0,1
76,-1,3,4,10,3,-1,2,1
76,1,1,1,5,1,1,0,6
76,4,3,3,-1,3,-1,0,1
76,1,2,3,10,1,1,-1,1
76,2,2,4,-1,1,2,0,4
76,2,3,4,5,2,2,-1,1
76,3,2,4,5,3,2,0,2
76,4,2,4,-1,3,3,0,1
76,4,3,4,-1,-1,2,0,1
76,3,2,2,1,1,2,1,1
76,1,3,2,5,1,1,2,2
76,3,3,4,-1,3,2,2,1
76,3,3,4,-1,3,-1,2,-1
76,1,2,2,5,1,2,2,1
76,1,2,2,5,1,1,0,3
76,4,2,3,-2,-1,-2,1,-2
76,1,1,1,1,1,1,2,9
76,4,2,2,-1,1,2,0,1
76,3,3,3,-1,3,2,0,1
76,3,2,4,5,2,3,0,1
76,4,1,3,8,3,2,-1,2
76,3,3,4,4,2,1,1,1
76,2,2,2,5,1,2,0,10
76,2,2,2,-1,1,1,2,2
76,1,2,1,6,1,2,2,4
76,3,2,3,4,3,1,1,5
76,3,2,4,1,3,2,2,1
76,4,2,3,10,3,2,-1,1
76,2,2,2,10,3,2,2,4
76,4,3,2,5,2,1,0,4
76,4,2,2,5,1,1,1,2
76,3,2,3,-1,-1,2,-1,1
76,4,2,2,5,3,1,2,1
76,2,2,2,5,1,1,2,2
76,3,3,4,-1,3,3,2,1
76,2,2,2,-1,2,-1,2,7
76,4,3,4,7,3,2,0,1
76,3,3,2,5,2,-1,0,5
76,2,2,2,5,3,2,0,1
76,1,1,1,4,1,1,2,3
76,2,-1,-1,5,3,-1,-1,5
76,3,2,2,-1,3,2,0,1
76,4,3,4,3,3,2,0,1
76,3,2,4,-1,-5,2,2,1
76,3,1,4,-1,3,2,0,1
76,2,2,3,-1,3,-1,1,3
76,2,3,2,-1,3,2,-1,1
76,1,3,2,-1,-1,-1,-1,5
76,3,3,4,10,3,1,0,1
76,3,2,2,1,2,1,0,1
76,3,2,1,7,1,2,0,9
76,3,2,3,5,1,2,0,3
76,3,3,4,-2,3,1,0,1
76,3,2,3,1,2,1,2,1
76,2,2,3,5,-5,2,0,3
76,2,2,3,6,3,2,1,5
76,4,3,4,1,3,3,0,1
76,2,2,2,5,3,2,2,5
76,2,3,3,5,3,2,1,1
76,2,2,2,5,1,1,1,1
76,4,3,4,5,1,2,2,1
76,3,3,4,5,2,2,0,1
76,4,3,4,4,2,2,2,1
76,2,2,3,5,3,2,1,5
76,4,3,4,4,3,1,1,8
76,2,1,1,5,1,1,1,2
76,3,3,3,5,2,2,2,1
76,2,2,2,5,-1,2,2,1
76,4,3,4,-1,3,-1,1,8
76,3,2,3,-2,2,1,0,1
76,1,2,3,6,1,1,2,7
76,2,2,2,1,1,2,0,1
76,3,2,4,6,1,2,2,1
